"","Chromosome","Start","End","Strand","Strand.1","AddressA","AddressB","Design","Color","Context","Random","HumanMethylation27","HumanMethylation450","Mismatches A","Mismatches B","CGI Relation","CpG","GC","SNPs 3","SNPs 5","SNPs Full","Cross-reactive","gene","distance","coef"
"1","Intercept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-10.8386605679717"
"cg18456523","chr5","54516805","54516806","+","+","72681527","39616135","I","Red","CG","FALSE","FALSE","TRUE","0","0","Island","9","66","0","0","0","0",NA,"12955","0.167617808980463"
"cg02280532","chr2","160761244","160761245","+","+","82671130","91661354","I","Red","CG","FALSE","FALSE","TRUE","0","0","Island","13","78","0","0","0","0","MARCH7","133705","1.33335008157683"
"cg12992720","chr19","19738592","19738593","-","-","31809162",NA,"II","Both","CG","FALSE","TRUE","TRUE","0","0","Island","8","65","0","0","0","0","LPAR2","0","1.61664198012266"
"cg24804948","chr5","87988507","87988508","-","-","98773402","11761946","I","Red","CG","FALSE","FALSE","TRUE","0","0","South Shelf","6","63","0","0","0","0",NA,"0","1.04263166965461"
"cg09859398","chr14","59932033","59932034","-","-","55784101","10607584","I","Red","CG","FALSE","FALSE","TRUE","0","0","Island","14","83","0","0","0","0","GPR135","0","1.89210343638776"
"cg19352193","chr13","46425508","46425509","-","-","90683397","66665952","I","Red","CG","FALSE","FALSE","TRUE","0","0","Open Sea","10","66","0","0","0","0","SIAH3","0","1.18004313372128"
"cg05470554","chr7","120969079","120969080","-","-","10604562","85623103","I","Red","CG","FALSE","FALSE","TRUE","0","0","North Shore","7","61","0","0","0","0","FAM3C","19824","1.94926961905829"
"cg10834205","chr12","54611443","54611444","-","-","45726233",NA,"II","Both","CG","FALSE","FALSE","TRUE","0","0","North Shore","6","64","0","0","0","0","CBX5","13279","1.23428804568182"
"cg25856383","chr2","38303219","38303220","+","+","80614554",NA,"II","Both","CG","FALSE","TRUE","TRUE","0","0","Island","7","58","0","0","0","0","CYP1B1-AS1","0","2.58031841546112"
"cg20449692","chr3","170136920","170136921","-","-","19754847","73781555","I","Red","CG","FALSE","TRUE","TRUE","0","0","Island","6","63","0","0","0","0","SLC7A14","40450","0.0490994079521397"
"cg04917391","chr4","40859259","40859260","+","+","46779568","72759865","I","Red","CG","FALSE","FALSE","TRUE","0","0","South Shore","13","81","0","0","0","0",NA,"31090","0.901801369025252"
"cg08024264","chr17","75084281","75084282","-","-","71618970",NA,"II","Both","CG","FALSE","FALSE","TRUE","0","0","North Shore","2","59","0","0","0","0",NA,"1703","0.0416676774451757"
"cg21167167","chr1","147736190","147736191","-","-","2652236",NA,"II","Both","CG","FALSE","FALSE","TRUE","0","0","North Shore","3","52","0","0","0","0",NA,"7822","1.29132275583831"
"cg26064774","chr4","6666009","6666010","+","+","7607972","93710216","I","Red","CG","FALSE","FALSE","TRUE","0","0","Island","9","71","0","0","0","0",NA,"9167","1.02883466589618"
"cg04193970","chr14","38091926","38091927","-","-","92789854","81673136","I","Red","CG","FALSE","FALSE","TRUE","0","0","Island","9","67","0","0","0","0","FOXA1","22680","1.76079511158789"
"cg12162530","chr13","33591783","33591784","+","+","73636164",NA,"II","Both","CG","FALSE","FALSE","TRUE","0","0","South Shore","3","45","0","0","0","0","KL","0","0.401533884848633"
"cg01407244","chr8","22961007","22961008","-","-","40703271",NA,"II","Both","CG","FALSE","TRUE","TRUE","0","0","South Shore","1","42","0","0","0","0",NA,"29005","0.500114943322243"
"cg02639927","chr1","77334748","77334749","-","-","10810271",NA,"II","Both","CG","FALSE","FALSE","TRUE","0","0","South Shore","7","65","0","0","0","0",NA,"89795","1.90721284061586"
"cg26345046","chr13","37004620","37004621","+","+","83662306",NA,"II","Both","CG","FALSE","FALSE","TRUE","0","0","North Shore","7","49","0","0","0","0","CCNA1","1345","3.85122287903092"
"cg12691334","chr11","68610186","68610187","-","-","50657897",NA,"II","Both","CG","FALSE","FALSE","TRUE","0","0","North Shore","6","67","0","0","0","0","CPT1A","0","3.03017674067331"
